21:17:55.650 > # iq_dump pairs=2048 fs_hz=31250 att=0
21:17:55.650 > # format: i,q (signed int16)
21:17:57.172 > 489,286
21:17:57.172 > 247,3
21:17:57.172 > -11,-235
21:17:57.172 > -236,-472
21:17:57.172 > -479,-734
21:17:57.172 > -714,-918
21:17:57.172 > -920,-1095
21:17:57.183 > -1101,-1233
21:17:57.183 > -1232,-1277
21:17:57.183 > -1289,-1290
21:17:57.183 > -1287,-1234
21:17:57.183 > -1242,-1140
21:17:57.183 > -1143,-983
21:17:57.183 > -1011,-862
21:17:57.183 > -845,-641
21:17:57.183 > -654,-417
21:17:57.183 > -431,-164
21:17:57.183 > -161,109
21:17:57.183 > 107,374
21:17:57.194 > 359,605
21:17:57.194 > 599,804
21:17:57.194 > 811,1016
21:17:57.194 > 999,1140
21:17:57.194 > 1141,1231
21:17:57.194 > 1208,1278
21:17:57.194 > 1248,1261
21:17:57.194 > 1245,1223
21:17:57.194 > 1195,1114
21:17:57.194 > 1110,987
21:17:57.194 > 968,772
21:17:57.194 > 780,600
21:17:57.194 > 560,316
21:17:57.194 > 322,49
21:17:57.205 > 45,-206
21:17:57.205 > -209,-460
21:17:57.205 > -449,-683
21:17:57.205 > -686,-870
21:17:57.205 > -873,-1028
21:17:57.205 > -1039,-1199
21:17:57.205 > -1170,-1227
21:17:57.205 > -1253,-1312
21:17:57.205 > -1289,-1262
21:17:57.205 > -1281,-1212
21:17:57.205 > -1192,-1077
21:17:57.205 > -1062,-896
21:17:57.217 > -900,-688
21:17:57.217 > -690,-436
21:17:57.217 > -461,-244
21:17:57.217 > -195,84
21:17:57.217 > 58,286
21:17:57.217 > 296,528
21:17:57.217 > 521,749
21:17:57.217 > 743,921
21:17:57.217 > 935,1107
21:17:57.217 > 1088,1218
21:17:57.217 > 1211,1295
21:17:57.217 > 1273,1258
21:17:57.217 > 1283,1254
21:17:57.217 > 1243,1133
21:17:57.228 > 1142,1013
21:17:57.228 > 972,818
21:17:57.228 > 806,604
21:17:57.228 > 609,383
21:17:57.228 > 380,129
21:17:57.228 > 132,-102
21:17:57.228 > -126,-403
21:17:57.228 > -372,-594
21:17:57.228 > -597,-842
21:17:57.228 > -787,-1011
21:17:57.228 > -1000,-1174
21:17:57.228 > -1155,-1260
21:17:57.228 > -1239,-1303
21:17:57.239 > -1296,-1279
21:17:57.239 > -1281,-1182
21:17:57.239 > -1204,-1123
21:17:57.239 > -1082,-910
21:17:57.239 > -926,-744
21:17:57.239 > -742,-513
21:17:57.239 > -542,-301
21:17:57.239 > -291,-4
21:17:57.239 > -26,226
21:17:57.239 > 227,483
21:17:57.239 > 479,730
21:17:57.239 > 710,873
21:17:57.239 > 908,1092
21:17:57.250 > 1070,1188
21:17:57.250 > 1192,1262
21:17:57.250 > 1238,1264
21:17:57.250 > 1267,1253
21:17:57.250 > 1252,1168
21:17:57.250 > 1164,1038
21:17:57.250 > 1036,904
21:17:57.250 > 876,647
21:17:57.250 > 682,454
21:17:57.250 > 455,213
21:17:57.250 > 194,-71
21:17:57.250 > -94,-333
21:17:57.250 > -330,-569
21:17:57.250 > -563,-781
21:17:57.261 > -785,-963
21:17:57.261 > -951,-1102
21:17:57.261 > -1102,-1244
21:17:57.261 > -1218,-1274
21:17:57.261 > -1273,-1287
21:17:57.261 > -1275,-1240
21:17:57.261 > -1249,-1148
21:17:57.261 > -1136,-988
21:17:57.261 > -976,-802
21:17:57.261 > -803,-597
21:17:57.261 > -576,-313
21:17:57.261 > -341,-91
21:17:57.272 > -84,183
21:17:57.272 > 182,420
21:17:57.272 > 422,653
21:17:57.272 > 629,839
21:17:57.272 > 850,1015
21:17:57.272 > 1043,1167
21:17:57.272 > 1163,1232
21:17:57.272 > 1247,1309
21:17:57.272 > 1282,1256
21:17:57.272 > 1269,1251
21:17:57.272 > 1195,1084
21:17:57.272 > 1069,922
21:17:57.272 > 897,706
21:17:57.272 > 716,506
21:17:57.283 > 511,255
21:17:57.283 > 254,-29
21:17:57.283 > -4,-230
21:17:57.283 > -257,-528
21:17:57.283 > -497,-710
21:17:57.283 > -716,-913
21:17:57.283 > -903,-1090
21:17:57.283 > -1090,-1232
21:17:57.283 > -1206,-1263
21:17:57.283 > -1262,-1300
21:17:57.283 > -1293,-1276
21:17:57.283 > -1248,-1145
21:17:57.294 > -1148,-1046
21:17:57.294 > -1007,-861
21:17:57.294 > -838,-639
21:17:57.294 > -627,-409
21:17:57.294 > -407,-172
21:17:57.294 > -135,133
21:17:57.294 > 130,366
21:17:57.294 > 354,577
21:17:57.294 > 592,830
21:17:57.294 > 807,961
21:17:57.294 > 987,1142
21:17:57.294 > 1129,1234
21:17:57.294 > 1232,1287
21:17:57.294 > 1270,1250
21:17:57.305 > 1276,1221
21:17:57.305 > 1226,1110
21:17:57.305 > 1103,936
21:17:57.305 > 960,791
21:17:57.305 > 786,539
21:17:57.305 > 571,326
21:17:57.305 > 330,48
21:17:57.305 > 73,-188
21:17:57.305 > -200,-464
21:17:57.305 > -430,-673
21:17:57.305 > -653,-870
21:17:57.305 > -872,-1055
21:17:57.305 > -1050,-1185
21:17:57.317 > -1179,-1296
21:17:57.317 > -1255,-1291
21:17:57.317 > -1282,-1268
21:17:57.317 > -1252,-1193
21:17:57.317 > -1177,-1081
21:17:57.317 > -1035,-890
21:17:57.317 > -872,-694
21:17:57.317 > -700,-489
21:17:57.317 > -476,-236
21:17:57.317 > -218,22
21:17:57.317 > 45,293
21:17:57.317 > 297,537
21:17:57.317 > 551,764
21:17:57.328 > 770,918
21:17:57.328 > 951,1114
21:17:57.328 > 1107,1221
21:17:57.328 > 1208,1241
21:17:57.328 > 1260,1265
21:17:57.328 > 1269,1228
21:17:57.328 > 1235,1150
21:17:57.328 > 1151,1004
21:17:57.328 > 1016,836
21:17:57.328 > 836,605
21:17:57.328 > 634,388
21:17:57.328 > 397,131
21:17:57.328 > 117,-161
21:17:57.328 > -145,-400
21:17:57.339 > -379,-635
21:17:57.339 > -603,-826
21:17:57.339 > -808,-984
21:17:57.339 > -987,-1153
21:17:57.339 > -1133,-1262
21:17:57.339 > -1222,-1283
21:17:57.339 > -1274,-1284
21:17:57.339 > -1277,-1253
21:17:57.339 > -1218,-1121
21:17:57.339 > -1094,-947
21:17:57.339 > -926,-742
21:17:57.339 > -740,-520
21:17:57.350 > -510,-268
21:17:57.350 > -260,-18
21:17:57.350 > 0,235
21:17:57.350 > 242,470
21:17:57.350 > 462,668
21:17:57.350 > 685,870
21:17:57.350 > 895,1048
21:17:57.350 > 1053,1205
21:17:57.350 > 1177,1269
21:17:57.350 > 1275,1285
21:17:57.350 > 1304,1233
21:17:57.350 > 1269,1192
21:17:57.350 > 1171,1051
21:17:57.350 > 1037,843
21:17:57.361 > 873,638
21:17:57.361 > 677,434
21:17:57.361 > 457,197
21:17:57.361 > 209,-62
21:17:57.361 > -43,-312
21:17:57.361 > -290,-569
21:17:57.361 > -512,-774
21:17:57.361 > -742,-969
21:17:57.361 > -954,-1167
21:17:57.361 > -1115,-1256
21:17:57.361 > -1227,-1297
21:17:57.361 > -1274,-1275
21:17:57.361 > -1278,-1226
21:17:57.372 > -1218,-1125
21:17:57.372 > -1096,-991
21:17:57.372 > -955,-797
21:17:57.372 > -787,-594
21:17:57.372 > -578,-381
21:17:57.372 > -355,-120
21:17:57.372 > -94,166
21:17:57.372 > 178,420
21:17:57.372 > 421,682
21:17:57.372 > 663,862
21:17:57.372 > 878,1014
21:17:57.372 > 1045,1169
21:17:57.372 > 1165,1236
21:17:57.384 > 1243,1249
21:17:57.384 > 1270,1241
21:17:57.384 > 1258,1203
21:17:57.384 > 1205,1078
21:17:57.384 > 1089,920
21:17:57.384 > # end
