21:17:55.650 > # iq_dump pairs=2048 fs_hz=31250 att=0
21:17:55.650 > # format: i,q (signed int16)
21:17:56.106 > 1238,1188
21:17:56.117 > 1168,1079
21:17:56.117 > 1068,954
21:17:56.117 > 910,727
21:17:56.117 > 693,479
21:17:56.117 > 465,254
21:17:56.117 > 229,-41
21:17:56.117 > -22,-245
21:17:56.117 > -254,-515
21:17:56.117 > -498,-740
21:17:56.117 > -750,-944
21:17:56.117 > -927,-1080
21:17:56.117 > -1101,-1207
21:17:56.117 > -1227,-1263
21:17:56.128 > -1251,-1281
21:17:56.128 > -1265,-1255
21:17:56.128 > -1249,-1130
21:17:56.128 > -1156,-1022
21:17:56.128 > -1009,-845
21:17:56.128 > -844,-606
21:17:56.128 > -614,-406
21:17:56.128 > -380,-126
21:17:56.128 > -153,111
21:17:56.128 > 113,384
21:17:56.128 > 361,593
21:17:56.128 > 592,862
21:17:56.128 > 814,997
21:17:56.139 > 1001,1116
21:17:56.139 > 1128,1232
21:17:56.139 > 1220,1312
21:17:56.139 > 1262,1291
21:17:56.139 > 1263,1216
21:17:56.139 > 1214,1132
21:17:56.139 > 1108,964
21:17:56.139 > 954,809
21:17:56.139 > 756,537
21:17:56.139 > 540,301
21:17:56.139 > 286,41
21:17:56.139 > 21,-183
21:17:56.139 > -224,-444
21:17:56.139 > -450,-698
21:17:56.150 > -669,-870
21:17:56.150 > -878,-1042
21:17:56.150 > -1061,-1162
21:17:56.150 > -1190,-1275
21:17:56.150 > -1257,-1293
21:17:56.150 > -1292,-1273
21:17:56.150 > -1251,-1174
21:17:56.150 > -1177,-1055
21:17:56.150 > -1065,-892
21:17:56.150 > -877,-675
21:17:56.150 > -667,-426
21:17:56.161 > -448,-173
21:17:56.161 > -206,43
21:17:56.161 > 39,290
21:17:56.161 > 271,528
21:17:56.161 > 524,786
21:17:56.161 > 757,964
21:17:56.161 > 948,1120
21:17:56.161 > 1109,1233
21:17:56.161 > 1219,1295
21:17:56.161 > 1258,1294
21:17:56.161 > 1262,1223
21:17:56.161 > 1226,1140
21:17:56.161 > 1118,1000
21:17:56.161 > 975,837
21:17:56.161 > 813,594
21:17:56.172 > 596,361
21:17:56.172 > 356,126
21:17:56.172 > 115,-104
21:17:56.172 > -141,-376
21:17:56.172 > -386,-651
21:17:56.172 > -634,-852
21:17:56.172 > -868,-1025
21:17:56.172 > -1042,-1149
21:17:56.172 > -1164,-1237
21:17:56.172 > -1245,-1301
21:17:56.172 > -1281,-1253
21:17:56.172 > -1265,-1190
21:17:56.183 > -1211,-1077
21:17:56.183 > -1100,-942
21:17:56.183 > -936,-734
21:17:56.183 > -745,-473
21:17:56.183 > -521,-262
21:17:56.183 > -275,4
21:17:56.183 > -23,234
21:17:56.183 > 233,513
21:17:56.183 > 487,752
21:17:56.183 > 700,939
21:17:56.183 > 898,1074
21:17:56.183 > 1069,1200
21:17:56.183 > 1168,1251
21:17:56.183 > 1233,1272
21:17:56.195 > 1261,1261
21:17:56.195 > 1230,1164
21:17:56.195 > 1167,1072
21:17:56.195 > 1048,898
21:17:56.195 > 864,674
21:17:56.195 > 651,413
21:17:56.195 > 412,160
21:17:56.195 > 154,-81
